rm_item_desc;date;amount_rs_crore;prompts_time_1;sequence
RM1.2) `Other' deposits with RBI ;8/16/2002;3515;8/16/2002;1152
RM1.2) `Other' deposits with RBI ;8/23/2002;3571;8/23/2002;1152
RM1.2) `Other' deposits with RBI ;8/30/2002;3500;8/30/2002;1152
RM1.2) `Other' deposits with RBI ;9/6/2002;3509;9/6/2002;1152
RM1.2) `Other' deposits with RBI ;9/13/2002;3526;9/13/2002;1152
RM1.2) `Other' deposits with RBI ;9/20/2002;3479;9/20/2002;1152
RM1.2) `Other' deposits with RBI ;9/27/2002;3314;9/27/2002;1152
RM1.2) `Other' deposits with RBI ;10/4/2002;3913;10/4/2002;1152
RM1.2) `Other' deposits with RBI ;10/11/2002;3284;10/11/2002;1152
RM1.2) `Other' deposits with RBI ;10/18/2002;3262;10/18/2002;1152
RM1.2) `Other' deposits with RBI ;10/25/2002;3309;10/25/2002;1152
RM1.2) `Other' deposits with RBI ;11/1/2002;3189;11/1/2002;1152
RM1.2) `Other' deposits with RBI ;11/8/2002;3024;11/8/2002;1152
RM1.2) `Other' deposits with RBI ;11/15/2002;3602;11/15/2002;1152
RM1.2) `Other' deposits with RBI ;11/22/2002;3285;11/22/2002;1152
RM1.2) `Other' deposits with RBI ;11/29/2002;2932;11/29/2002;1152
RM1.3) Bankers' deposits with RBI ;1/4/2002;64947;1/4/2002;1153
RM1.3) Bankers' deposits with RBI ;1/11/2002;65027;1/11/2002;1153
RM1.3) Bankers' deposits with RBI ;1/18/2002;67047;1/18/2002;1153
RM1.3) Bankers' deposits with RBI ;1/25/2002;73556;1/25/2002;1153
RM1.3) Bankers' deposits with RBI ;2/1/2002;68254;2/1/2002;1153
RM1.3) Bankers' deposits with RBI ;2/8/2002;75639;2/8/2002;1153
RM1.3) Bankers' deposits with RBI ;2/15/2002;65541;2/15/2002;1153
RM1.3) Bankers' deposits with RBI ;2/22/2002;70345;2/22/2002;1153
RM1.3) Bankers' deposits with RBI ;3/1/2002;73643;3/1/2002;1153
RM1.3) Bankers' deposits with RBI ;3/8/2002;68446;3/8/2002;1153
RM1.3) Bankers' deposits with RBI ;3/15/2002;74591;3/15/2002;1153
RM1.3) Bankers' deposits with RBI ;3/22/2002;67791;3/22/2002;1153
RM1.3) Bankers' deposits with RBI ;3/29/2002;78904;3/29/2002;1153
RM1.3) Bankers' deposits with RBI ;4/5/2002;64940;4/5/2002;1153
RM1.3) Bankers' deposits with RBI ;4/12/2002;70850;4/12/2002;1153
RM1.3) Bankers' deposits with RBI ;4/19/2002;80657;4/19/2002;1153
RM1.3) Bankers' deposits with RBI ;4/26/2002;73542;4/26/2002;1153
RM1.3) Bankers' deposits with RBI ;5/3/2002;79054;5/3/2002;1153
RM1.3) Bankers' deposits with RBI ;5/10/2002;73664;5/10/2002;1153
RM1.3) Bankers' deposits with RBI ;5/17/2002;77375;5/17/2002;1153
RM1.3) Bankers' deposits with RBI ;5/24/2002;79532;5/24/2002;1153
RM1.3) Bankers' deposits with RBI ;5/31/2002;69023;5/31/2002;1153
RM1.3) Bankers' deposits with RBI ;6/7/2002;68604;6/7/2002;1153
RM1.3) Bankers' deposits with RBI ;6/14/2002;71321;6/14/2002;1153
